,game_key,winner_id,odd_team_1,odd_ml_1,odd_team_2,odd_ml_2
1306,201904201x0000706c,16,16,-146,9,123
1307,201904211x00000144,1,8,-130,1,111
1308,201904211x000e0cb8,29,31,-187,29,157
1309,201904221x0000706c,9,9,-121,16,101
1310,201904221x0002f2d8,19,19,-137,21,116
1311,201904231x00000144,1,1,-142,8,121
1312,201904231x000e0cb8,29,29,-114,31,-104
1313,201904241x0000706c,9,16,-153,9,130
1314,201904251x00033916,22,22,-157,19,133
1315,201904251x000001e4,1,1,-147,10,125
1316,201904261x000041ac,9,12,-145,9,122
1317,201904261x0004f348,29,29,-136,18,115
1318,201904271x000001e4,10,1,-139,10,118
1319,201904271x00033916,19,22,-146,19,124
1320,201904281x000041ac,9,12,-149,9,125
1321,201904281x0004f348,18,29,-156,18,132
1322,201904291x00033916,22,19,-121,22,102
1323,201904301x0004f348,29,18,-131,29,110
1324,201904301x000001e4,10,10,-121,1,102
1325,201905011x000041ac,9,9,-129,12,108
1326,201905011x00033916,19,19,-120,22,101
1327,201905021x000001e4,1,10,-122,1,102
1328,201905021x0004f348,18,18,-129,29,110
1329,201905031x000041ac,9,9,-140,12,119
1330,201905031x00033916,19,22,-150,19,127
1331,201905041x000001e4,1,1,-146,10,124
1332,201905041x0004f348,29,29,-142,18,121
1333,201905051x00033916,22,19,-129,22,109
1334,201905061x0004f348,18,18,-127,29,107
1335,201905061x000001e4,1,10,-127,1,107
1336,201905071x00033916,22,22,-153,19,130
1337,201905081x0004f348,29,29,-147,18,125
1338,201905091x00000190,1,1,-153,9,130
1339,201905111x00074178,29,29,-130,22,109
1340,201905121x00000190,1,1,-160,9,136
1341,201905131x00074178,22,29,-139,22,118
1342,201905141x00000190,1,9,-123,1,104
1343,201905151x00074178,29,22,-140,29,118
1344,201905161x00000190,1,9,-105,1,-112
1345,201905171x00074178,22,22,-137,29,116
1346,201905191x00074178,22,29,-140,22,119
1347,201905211x00074178,22,22,-189,29,159
1348,201905271x00000844,1,1,-168,22,142
1349,201905291x00000844,22,1,-174,22,148
1350,201906011x00000844,1,22,-120,1,100
1351,201906031x00000844,22,22,-113,1,-106
1352,201906061x00000844,22,1,-157,22,134
1353,201906091x00000844,1,22,-117,1,-102
1354,201906121x00000844,22,1,-182,22,153
1355,201910021x000b7c1e,27,27,-135,30,113
1356,201910021x000253f6,16,22,-161,16,136
1357,201910021x00000f5e,8,8,-340,6,269
1358,201910021x000e0cb8,31,31,-179,29,152
1359,201910031x0006703c,24,24,-117,25,-102
1360,201910031x00000df0,9,9,-162,5,136
1361,201910031x00040258,18,18,-126,26,105
1362,201910031x00000640,1,19,-108,1,-110
1363,201910031x00034048,21,21,-180,20,151
1364,201910031x0001b7f8,13,13,-124,23,103
1365,201910031x000008f2,2,15,-200,2,166
1366,201910031x0000062e,7,7,-187,4,157
1367,201910041x0000260a,8,10,141,8,-169
1368,201910041x00014324,23,11,-147,23,123
1369,201910041x0000be24,16,12,-121,16,101
1370,201910041x00011bf4,14,14,-122,17,102
1371,201910041x000e0cb8,31,29,106,31,-128
1372,201910051x000892c0,24,24,-115,29,-104
1373,201910051x00000a90,1,25,124,1,-147
1374,201910051x00000506,2,2,-118,11,-101
1375,201910051x000aadc4,26,26,-208,30,173
1376,201910051x00026c9e,18,18,-166,20,138
1377,201910051x000a0cd2,27,27,-156,28,130
1378,201910051x0000062e,4,4,108,7,-130
1379,201910051x00001e18,3,21,-266,3,217
1380,201910051x00002548,13,6,112,13,-134
1381,201910051x00007882,15,15,-189,10,159
1382,201910051x00033916,22,22,-146,19,123
1383,201910051x00000b48,5,8,-163,5,137
1384,201910051x0000706c,9,16,-120,9,101
1385,201910061x000018d0,9,9,-102,7,-117
1386,201910061x000018dc,3,3,138,19,-162
